,composition,UUID,cell,positions,numbers,energy (eV/atom),formation energy (eV/atom),Tc (K)(KKR-FULL)
17472,Co2ZnSi,0c4f6753-947c-4610-9176-479f395bb834,"[[2.45167017, 2.45167017, -0.0], [-2.45167017, 2.45167017, 0.0], [-0.0, -0.0, 7.68439277]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.75], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]",[27 27 27 27 30 30 14 14],-5.262053995,-0.1113295012499993,372.3
5840,V2FeGa,4366fe5d-ce0a-4b31-92f1-bd0c29bbe732,"[[2.96117471, 2.96117471, -0.0], [-2.96117471, 2.96117471, -0.0], [0.0, 0.0, 5.92793923]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[23 23 23 23 26 26 31 31],-7.419966765,-0.1461167950000002,757.4
101902,Au2MnIn,26b67a9f-1449-43b4-80e4-3e453eaca568,"[[2.96572379, 2.96572379, -0.0], [-2.96572379, 2.96572379, 0.0], [-0.0, 0.0, 8.25562604]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[79 79 79 79 25 25 49 49],-4.54513247875,-0.08203268875,4.5
26295,Y2CrAl,18bb3a12-c922-447d-974a-4de470e84168,"[[0.0, 3.61436295, 3.61436295], [3.61436295, 0.0, 3.61436295], [3.61436295, 3.61436295, 0.0]]","[[0.25, 0.25, 0.25], [0.7500000000000002, 0.7500000000000002, 0.7499999999999998], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]",[39 39 24 13],-6.56637708,-0.0381784500000002,517.8
19396,Ni2MnGa,61359277-dd59-4a28-9738-149f5c145005,"[[2.67041123, 2.67041123, 0.0], [-2.67041123, 2.67041123, -0.0], [-0.0, -0.0, 6.79306989]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]",[28 28 28 28 25 25 31 31],-6.0186490625,-0.3379436049999995,554.7
34519,Ru2MnSb,8e60fac8-7714-4ccc-93ea-9235ccae4190,"[[3.11759773, 3.11759773, -0.0], [-3.11759773, 3.11759773, 0.0], [-0.0, -0.0, 6.23496624]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[44 44 44 44 25 25 51 51],-7.99201159375,-0.1265700175000006,338.0
15135,Fe2NbSb,6116aab9-930a-4712-8e85-c9f965fac8ab,"[[3.08583095, 3.08583095, -0.0], [-3.08583095, 3.08583095, 0.0], [0.0, 0.0, 6.17108071]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000001], [0.5, 0.0, 0.7500000000000001], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[26 26 26 26 41 41 51 51],-7.70787452375,-0.0153406375000004,410.1
3406,Ti2CoGa,e7d4ffe0-8b51-4206-b05c-876619dba453,"[[3.0881367, 3.0881367, -0.0], [-3.0881367, 3.0881367, -0.0], [0.0, 0.0, 6.17551849]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[22 22 22 22 27 27 31 31],-6.74943616625,-0.3628799149999997,29.3
141,Sc2TiIn,8e223d54-f1a9-487a-b0eb-fd09e8a0be19,"[[3.04169271, 3.04169271, -0.0], [-3.04169271, 3.04169271, -0.0], [-0.0, 0.0, 9.3324262]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[21 21 21 21 22 22 49 49],-5.88203894625,-0.1671454399999996,189.4
100437,Pt2CrGe,f276376d-d989-4679-9c0b-591fe5ecd232,"[[2.76044811, 2.76044811, -0.0], [-2.76044811, 2.76044811, 0.0], [0.0, 0.0, 7.99051236]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[78 78 78 78 24 24 32 32],-6.72679501875,-0.1653466212500003,24.4
71298,Mn2ReSi,b27682f8-773c-4192-ae0c-696fb14b0438,"[[2.92069738, 2.92069738, 0.0], [-2.92069738, 2.92069738, -0.0], [-0.0, -0.0, 5.85697416]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[25 25 25 25 75 75 14 14],-9.17699558,-0.2937796212499997,182.7
